W W W W W W W W W W W W W W W W W W W W W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F S F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F D F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W F F F F F F F F F W F F F F F F F F F W
W W W D W W W W W W W W W W W W W D W W W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F G F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F D F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W F F F F F F F F F F F W F F F F F F F W
W W W W W W W W W W W W W W W W W W W W W
